uri,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,valence,tempo
3vIa853jAJuNTdp6ZzPkON,0.662,0.788,3,-4.55,0.205,0.0191,0.0,0.711,179.876
5Tj1ohvoTgMyk5KyatzI88,0.639,0.791,10,-4.443,0.254,0.0275,0.0,0.933,92.603
5flnQRzZYpT7v7BvNoLsQd,0.821,0.602,9,-6.628,0.168,0.108,0.0,0.628,90.035
3U6GNFtiY6Uql2KzR0dvNw,0.904,0.817,8,-3.956,0.0871,0.0254,0.000141,0.753,101.988
38DE0yn1UzRWgaLsh0GJGZ,0.705,0.562,8,-3.378,0.0674,0.257,0.0,0.569,163.893
1oF3cqTJws6BixRDsyz0HU,0.664,0.659,10,-4.232,0.0873,0.0625,0.00024,0.797,175.826
1vN2rZ4WoUe6QQJjc2NBjN,0.904,0.817,8,-3.956,0.0871,0.0254,0.000141,0.753,101.988
3ZCUoHByl6bizZMHPQF5v5,0.904,0.817,8,-3.956,0.0871,0.0254,0.000141,0.753,101.988
1ia62vfFbklbRgNfx0CPC5,0.611,0.781,2,-5.261,0.149,0.08,0.0,0.413,186.162
62aZgpepQgr9C5n2EY0qgG,0.904,0.817,8,-3.956,0.0871,0.0254,0.000141,0.753,101.988
6Es8MOlBfFcCmHZhhLoroo,0.821,0.602,9,-6.628,0.168,0.108,0.0,0.628,90.035
0dh1X0wdxSZoaFdDddVhPF,0.828,0.763,1,-7.613,0.095,0.0741,0.0103,0.861,90.004
5dfmapXZPohL1PgX3y5jGm,0.889,0.641,7,-4.494,0.0668,0.0515,2.75e-05,0.588,87.99
4sIhqSb3u7PhFWE5k1Xwg3,0.811,0.812,7,-4.47,0.0635,0.151,0.000362,0.689,87.98
1F4sE8N4KROqjI5GeBDiDQ,0.747,0.74,4,-4.325,0.191,0.0165,9.94e-05,0.552,176.062
6I9u1BUOMgesqngW1QdwtS,0.904,0.817,8,-3.956,0.0871,0.0254,0.000141,0.753,101.988
6H73ViNxjmJcXWHGX20Vkx,0.904,0.817,8,-3.956,0.0871,0.0254,0.000141,0.753,101.988
